airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,class,price
IndiGo,2019-05-09,Delhi,Cochin,06:50:00,16:10:00,560,1.0,No Info,Economy,6442
Air India,2019-04-03,Mumbai,Hyderabad,06:20:00,07:40:00,80,0.0,No Info,Economy,3100
SpiceJet,2019-05-15,Kolkata,Banglore,11:15:00,18:30:00,435,1.0,No Info,Economy,8844
Jet Airways,2019-06-09,Delhi,Cochin,19:45:00,12:35:00,1010,1.0,In-flight meal not included,Economy,10577
Jet Airways,2019-06-18,Delhi,Cochin,09:50:00,13:05:00,195,0.0,No Info,Economy,9564
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,19:10:00,1355,1.0,In-flight meal not included,Economy,11087
Jet Airways,2019-03-06,Banglore,New Delhi,09:45:00,14:25:00,280,1.0,No Info,Economy,16757
IndiGo,2019-03-27,Chennai,Kolkata,14:40:00,17:05:00,145,0.0,No Info,Economy,3384
SpiceJet,2019-04-24,Delhi,Cochin,17:55:00,22:50:00,295,1.0,No Info,Economy,4957
Air India,2019-05-09,Kolkata,Banglore,10:00:00,01:20:00,920,2.0,No Info,Economy,13033
IndiGo,2019-06-01,Chennai,Kolkata,15:40:00,18:25:00,165,0.0,No Info,Economy,3540
IndiGo,2019-05-18,Delhi,Cochin,16:10:00,22:30:00,380,1.0,No Info,Economy,7640
IndiGo,2019-05-18,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,Economy,4804
Air India,2019-05-01,Kolkata,Banglore,12:00:00,07:55:00,1195,2.0,No Info,Economy,10151
Jet Airways,2019-06-18,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No Info,Economy,8016
Multiple carriers,2019-05-18,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No Info,Economy,8073
Air India,2019-06-24,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No Info,Economy,11989
IndiGo,2019-03-09,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,Economy,6297
IndiGo,2019-06-09,Kolkata,Banglore,08:10:00,13:00:00,290,1.0,No Info,Economy,5069
